timestamp,cpu_percent,memory_mb,network_rx,network_tx
1763273183,4.1,10123,5058369997,2205528859
1763273184,4.2,9682,5058370501,2205528859
1763273185,3.8,9697,5058371347,2205528859
1763273186,4.2,9686,5058374955,2205528859
1763273188,4.7,9653,5058376644,2205528859
1763273189,4.3,9668,5058415078,2205540471
1763273190,4.6,9681,5058416640,2205540753
1763273191,4.3,9712,5058452345,2205555572
1763273192,4.6,9720,5058528253,2205558776
1763273194,4.8,9720,5058532753,2205559152
1763273195,4.2,9726,5058533032,2205559528
1763273196,4.7,9715,5058546742,2205566180
1763273197,4.2,9871,5058559725,2205575816
1763273199,4.7,9883,5058560719,2205575878
1763273200,4.7,9863,5058561595,2205576557
1763273201,4.3,9870,5058570908,2205588465
1763273202,5.1,9677,5058581831,2205595752
1763273203,4.6,9702,5058582417,2205595846
1763273205,4.7,9722,5058583165,2205596630
1763273206,4.7,9710,5058587690,2205600643
1763273207,4.6,9692,5058587816,2205600643
1763273208,4.8,9703,5058591916,2205604816
1763273210,3.8,9700,5058593926,2205604816
1763273211,5.2,9709,5058595954,2205604988
1763273212,5.9,9730,5058598214,2205604988
1763273213,5.2,9718,5058604383,2205605862
1763273215,4.1,9716,5058605729,2205605862
1763273216,4.7,9705,5058606262,2205605862
1763273217,4.7,9707,5058608926,2205605862
1763273218,4.3,9699,5058611919,2205605862
1763273219,4.7,9704,5058612123,2205605862
1763273221,4.7,9743,5058613411,2205605862
1763273222,4.7,9735,5058614942,2205605862
1763273223,4.6,9713,5058615666,2205605862
1763273224,6.0,9722,5058617040,2205605862
1763273226,4.1,9719,5058617417,2205605862
1763273227,4.1,9719,5058619812,2205605862
1763273228,2.8,9718,5058621607,2205605862
1763273229,3.3,9720,5058625773,2205605862
1763273230,5.2,8373,5058630539,2205608942
1763273232,7.0,8250,5058632569,2205608942
1763273233,4.2,8363,5058635384,2205608942
1763273234,4.6,7658,5058637032,2205609721
1763273235,5.0,7584,5058638772,2205609783
1763273237,3.8,7564,5058639380,2205609869
1763273238,4.2,7557,5058639835,2205610190
1763273239,4.6,7564,5058640317,2205610300
1763273240,4.6,7555,5058667321,2205956372
1763273241,4.7,7543,5058670109,2205956458
1763273243,4.7,7543,5058673727,2205957760
1763273244,4.2,7539,5058677613,2205958632
1763273245,4.7,7539,5058691129,2205972527
1763273246,4.6,7537,5058693001,2205972785
1763273248,4.7,7546,5058745980,2206348117
1763273249,4.6,7514,5058758945,2206352498
1763273250,4.6,7511,5058764037,2206353679
1763273251,4.3,7498,5058769092,2206354437
1763273252,4.3,7503,5058774812,2206356134
1763273254,4.7,7496,5058779928,2206357252
1763273255,3.7,7511,5058793199,2206367261
1763273256,3.3,7514,5058798794,2206372075
1763273257,5.6,7547,5058856796,2206765946
1763273259,4.7,7564,5058906764,2206797045
1763273260,5.1,7554,5058910143,2206797424
1763273261,4.7,7554,5058916137,2206798210
1763273262,4.7,7567,5058918618,2206799254
1763273263,4.3,7540,5058922750,2206799770
1763273265,4.6,7530,5058925823,2206799856
1763273266,4.7,7554,5058933315,2206800841
1763273267,4.7,7512,5058949446,2206810936
1763273268,4.7,7527,5058950998,2206811147
1763273270,4.2,7548,5058952587,2206811233
1763273271,3.8,7555,5058956041,2206815893
1763273272,5.1,7547,5058959429,2206820517
1763273273,4.6,7531,5058960052,2206820517
1763273275,6.1,7537,5058961499,2206824951
1763273276,4.2,7512,5058964741,2206825123
1763273277,4.7,7535,5059030526,2206877749
1763273278,4.7,7517,5059042660,2206880833
1763273279,5.1,7521,5059046220,2206880833
1763273281,4.6,7509,5059047452,2206880833
1763273282,4.3,7516,5059049463,2206881435
1763273283,4.7,7510,5059052260,2206881435
1763273284,3.8,7494,5059054783,2206881435
1763273286,4.3,7499,5059056834,2206881435
1763273287,11.6,7522,5059085961,2207233876
1763273288,4.7,7519,5059087670,2207233876
1763273289,4.1,7519,5059094495,2207235006
1763273290,4.7,7499,5059098987,2207235608
1763273292,4.8,7530,5059102348,2207236382
1763273293,4.6,7538,5059110790,2207237586
1763273294,15.8,7520,5059117485,2207238274
1763273295,4.3,7490,5059130876,2207247681
1763273297,3.7,7496,5059134573,2207252399
